"hrsrelax","mntlhlth","hrs1","degree","grass"
7,30,6,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
3,7,60,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
14,15,4,"HIGH SCHOOL","NOT LEGAL"
4,0,30,"GRADUATE",NA
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
5,0,18,"HIGH SCHOOL",NA
1,20,47,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
1,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,18,"BACHELOR","NOT LEGAL"
2,30,60,"HIGH SCHOOL","LEGAL"
4,5,45,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,3,70,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,10,30,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
7,0,38,"HIGH SCHOOL",NA
6,4,42,"BACHELOR","LEGAL"
2,15,41,"HIGH SCHOOL",NA
5,5,38,"BACHELOR","NOT LEGAL"
6,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR",NA
8,0,24,"HIGH SCHOOL","NOT LEGAL"
5,3,45,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR",NA
4,2,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
4,2,52,"BACHELOR","LEGAL"
5,12,45,"LT HIGH SCHOOL",NA
8,0,72,"HIGH SCHOOL",NA
4,7,40,"HIGH SCHOOL","LEGAL"
2,2,60,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,0,55,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,5,85,"HIGH SCHOOL","NOT LEGAL"
4,0,50,"HIGH SCHOOL","LEGAL"
4,0,40,"HIGH SCHOOL",NA
8,0,49,"BACHELOR","NOT LEGAL"
4,1,40,"BACHELOR",NA
3,15,50,"HIGH SCHOOL","LEGAL"
6,0,52,"JUNIOR COLLEGE","LEGAL"
3,0,42,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,1,45,"HIGH SCHOOL","LEGAL"
4,15,55,"GRADUATE","LEGAL"
8,30,64,"HIGH SCHOOL",NA
1,0,60,"BACHELOR","LEGAL"
2,0,24,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,2,27,"HIGH SCHOOL","NOT LEGAL"
NA,NA,9,"JUNIOR COLLEGE",NA
1,10,55,"BACHELOR","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,30,64,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
8,15,14,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,30,40,"HIGH SCHOOL","LEGAL"
0,30,28,"LT HIGH SCHOOL",NA
1,0,40,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,1,9,"GRADUATE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
3,30,37,"BACHELOR",NA
6,0,15,"HIGH SCHOOL",NA
3,0,45,"HIGH SCHOOL",NA
4,0,50,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
4,0,20,"JUNIOR COLLEGE",NA
NA,NA,NA,"BACHELOR","LEGAL"
2,1,50,"BACHELOR",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
NA,0,20,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,20,50,"HIGH SCHOOL","NOT LEGAL"
5,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,36,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
4,1,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
3,2,55,"BACHELOR","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,0,44,"HIGH SCHOOL",NA
5,2,35,"HIGH SCHOOL","LEGAL"
0,6,22,"HIGH SCHOOL",NA
0,30,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
0,0,89,"JUNIOR COLLEGE",NA
2,10,40,"LT HIGH SCHOOL",NA
3,1,50,"GRADUATE","NOT LEGAL"
4,5,40,"BACHELOR","NOT LEGAL"
3,10,40,"BACHELOR","LEGAL"
4,15,60,"BACHELOR","LEGAL"
2,0,25,"BACHELOR","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
3,2,36,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
6,0,40,"GRADUATE","NOT LEGAL"
6,0,40,"GRADUATE",NA
4,4,9,"GRADUATE","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,60,"GRADUATE",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
5,30,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,0,38,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
2,12,40,"HIGH SCHOOL","LEGAL"
1,2,40,"BACHELOR","LEGAL"
5,0,45,"GRADUATE",NA
2,0,50,"BACHELOR",NA
0,NA,56,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"BACHELOR",NA
2,20,50,"GRADUATE","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
4,15,30,"GRADUATE",NA
NA,NA,NA,"BACHELOR",NA
2,0,70,"GRADUATE","LEGAL"
3,1,50,"GRADUATE",NA
4,0,40,"HIGH SCHOOL",NA
NA,NA,9,"BACHELOR","NOT LEGAL"
2,10,40,"HIGH SCHOOL","NOT LEGAL"
4,0,40,"HIGH SCHOOL","LEGAL"
5,0,50,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,0,60,"BACHELOR","NOT LEGAL"
6,10,50,"JUNIOR COLLEGE","LEGAL"
1,7,52,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
6,0,38,"GRADUATE","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
3,7,55,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,3,50,"JUNIOR COLLEGE",NA
1,0,60,"HIGH SCHOOL","NOT LEGAL"
3,1,20,"HIGH SCHOOL","LEGAL"
8,0,9,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
5,0,40,"HIGH SCHOOL",NA
4,0,60,"JUNIOR COLLEGE","LEGAL"
5,0,50,"BACHELOR",NA
4,0,52,"HIGH SCHOOL","LEGAL"
5,0,32,"BACHELOR","LEGAL"
5,4,40,"BACHELOR","LEGAL"
4,5,32,"HIGH SCHOOL","NOT LEGAL"
3,0,45,"JUNIOR COLLEGE",NA
NA,NA,NA,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
3,0,50,"BACHELOR","LEGAL"
4,10,40,"JUNIOR COLLEGE","LEGAL"
1,1,40,"HIGH SCHOOL","NOT LEGAL"
6,0,30,"HIGH SCHOOL","LEGAL"
2,7,40,"HIGH SCHOOL",NA
4,0,50,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"BACHELOR",NA
2,0,38,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR",NA
3,5,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
3,0,55,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,2,9,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,30,"HIGH SCHOOL",NA
4,0,45,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,50,"BACHELOR","NOT LEGAL"
3,0,50,"GRADUATE","LEGAL"
NA,NA,NA,"GRADUATE",NA
5,0,40,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
1,0,40,"GRADUATE","LEGAL"
2,0,40,"BACHELOR",NA
16,4,20,"BACHELOR","LEGAL"
4,0,40,"BACHELOR","LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
0,0,50,"BACHELOR","NOT LEGAL"
4,10,32,"BACHELOR","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
0,0,30,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,40,"HIGH SCHOOL",NA
2,1,50,"BACHELOR",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
2,2,26,"GRADUATE",NA
8,0,16,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,0,38,"GRADUATE","NOT LEGAL"
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
3,0,32,"HIGH SCHOOL",NA
16,3,40,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,1,40,"LT HIGH SCHOOL",NA
4,0,16,"HIGH SCHOOL","NOT LEGAL"
1,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE",NA
3,2,45,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,1,35,"JUNIOR COLLEGE","LEGAL"
5,0,40,"BACHELOR",NA
3,0,35,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","LEGAL"
10,7,8,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
8,0,16,"HIGH SCHOOL","NOT LEGAL"
1,4,55,"GRADUATE","LEGAL"
3,5,65,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
16,4,38,"JUNIOR COLLEGE","NOT LEGAL"
2,3,32,"GRADUATE",NA
4,25,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
3,0,40,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
5,3,12,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,55,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,30,56,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
1,2,20,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,3,44,"JUNIOR COLLEGE",NA
4,0,37,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,7,65,"HIGH SCHOOL",NA
3,14,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
12,0,12,"HIGH SCHOOL","NOT LEGAL"
2,0,40,"LT HIGH SCHOOL","NOT LEGAL"
24,1,50,"JUNIOR COLLEGE","NOT LEGAL"
4,15,45,"HIGH SCHOOL","LEGAL"
4,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
4,10,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,0,40,"LT HIGH SCHOOL","NOT LEGAL"
8,30,30,"HIGH SCHOOL",NA
0,14,42,"LT HIGH SCHOOL","NOT LEGAL"
0,0,48,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
10,0,70,"HIGH SCHOOL","LEGAL"
2,15,24,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,1,40,"BACHELOR","LEGAL"
4,0,50,"BACHELOR","LEGAL"
4,30,38,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
5,0,32,"GRADUATE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
4,1,55,"GRADUATE",NA
5,1,40,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
8,30,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
0,5,52,"HIGH SCHOOL",NA
2,0,42,"HIGH SCHOOL","LEGAL"
3,4,40,"HIGH SCHOOL","NOT LEGAL"
2,1,40,"HIGH SCHOOL","LEGAL"
8,0,40,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
0,0,40,"HIGH SCHOOL","LEGAL"
2,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL",NA
3,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
3,0,60,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
6,3,45,"BACHELOR","NOT LEGAL"
5,2,9,"GRADUATE","LEGAL"
20,0,20,"GRADUATE",NA
9,15,45,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
5,NA,20,"HIGH SCHOOL","NOT LEGAL"
10,6,10,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,10,50,"GRADUATE","LEGAL"
2,4,40,"HIGH SCHOOL",NA
8,0,20,"HIGH SCHOOL","NOT LEGAL"
2,5,60,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,NA,42,"HIGH SCHOOL",NA
2,4,24,"HIGH SCHOOL","NOT LEGAL"
3,2,22,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
4,10,32,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
5,0,35,"BACHELOR","LEGAL"
5,0,60,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
6,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,0,60,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,2,40,"GRADUATE",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
2,0,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,0,40,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
2,0,60,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
1,10,35,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,1,45,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,0,52,"HIGH SCHOOL","LEGAL"
5,1,40,"HIGH SCHOOL",NA
12,0,25,"GRADUATE","NOT LEGAL"
3,25,48,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,3,40,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
6,0,40,"LT HIGH SCHOOL","NOT LEGAL"
2,0,40,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,0,45,"GRADUATE","LEGAL"
3,2,45,"BACHELOR","NOT LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
0,0,52,"GRADUATE","LEGAL"
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"GRADUATE",NA
3,30,28,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE",NA
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
5,0,30,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
1,5,50,"GRADUATE","NOT LEGAL"
5,4,13,"HIGH SCHOOL",NA
2,0,46,"LT HIGH SCHOOL","LEGAL"
6,1,47,"HIGH SCHOOL","LEGAL"
6,0,50,"JUNIOR COLLEGE",NA
1,30,12,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,24,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,0,45,"JUNIOR COLLEGE",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
6,0,60,"BACHELOR","NOT LEGAL"
3,0,30,"GRADUATE",NA
4,0,50,"GRADUATE","NOT LEGAL"
3,0,50,"HIGH SCHOOL",NA
5,1,37,"GRADUATE","NOT LEGAL"
5,0,50,"HIGH SCHOOL",NA
2,10,60,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,0,50,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE",NA
3,0,35,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
4,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
3,0,50,"GRADUATE","LEGAL"
2,5,50,"GRADUATE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
10,NA,32,"HIGH SCHOOL","NOT LEGAL"
5,7,40,"LT HIGH SCHOOL","NOT LEGAL"
6,15,15,"HIGH SCHOOL",NA
4,2,40,"HIGH SCHOOL",NA
0,0,9,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
4,4,9,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
3,0,45,"GRADUATE","LEGAL"
5,0,60,"GRADUATE",NA
5,0,31,"HIGH SCHOOL","LEGAL"
2,0,12,"GRADUATE","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
5,0,48,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE",NA
2,0,45,"BACHELOR",NA
4,0,45,"HIGH SCHOOL","LEGAL"
5,0,40,"JUNIOR COLLEGE","NOT LEGAL"
2,0,70,"GRADUATE",NA
0,30,60,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
1,0,40,"BACHELOR","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,20,40,"BACHELOR",NA
5,5,40,"GRADUATE","NOT LEGAL"
2,0,5,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL",NA
2,0,60,"BACHELOR","NOT LEGAL"
2,0,40,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL",NA
1,2,40,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
7,3,40,"HIGH SCHOOL","LEGAL"
3,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
5,0,55,"GRADUATE","NOT LEGAL"
NA,NA,NA,"GRADUATE",NA
2,2,45,"GRADUATE","LEGAL"
2,10,40,"BACHELOR",NA
5,0,20,"BACHELOR",NA
5,0,25,"HIGH SCHOOL","LEGAL"
2,0,40,"BACHELOR",NA
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"GRADUATE","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,40,"BACHELOR",NA
7,2,27,"HIGH SCHOOL","NOT LEGAL"
1,5,60,"BACHELOR","LEGAL"
3,2,50,"BACHELOR","NOT LEGAL"
2,5,52,"HIGH SCHOOL",NA
3,10,41,"LT HIGH SCHOOL","NOT LEGAL"
3,0,48,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,0,40,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,0,40,"JUNIOR COLLEGE",NA
NA,NA,NA,"BACHELOR","LEGAL"
4,0,40,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
8,0,40,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
1,0,9,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
8,0,41,"HIGH SCHOOL","LEGAL"
7,2,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
10,0,37,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
6,8,20,"HIGH SCHOOL",NA
4,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,70,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,15,30,"LT HIGH SCHOOL",NA
0,0,50,"HIGH SCHOOL","NOT LEGAL"
2,0,40,"HIGH SCHOOL",NA
0,15,50,"HIGH SCHOOL","NOT LEGAL"
3,2,20,"HIGH SCHOOL",NA
4,15,51,"HIGH SCHOOL","LEGAL"
4,4,40,"GRADUATE","NOT LEGAL"
4,2,65,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
8,0,37,"BACHELOR","LEGAL"
2,0,75,"HIGH SCHOOL","NOT LEGAL"
1,0,38,"GRADUATE","LEGAL"
4,0,34,"LT HIGH SCHOOL",NA
4,5,40,"HIGH SCHOOL","NOT LEGAL"
3,15,68,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
8,1,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
